method,Activity,Excl,Incl,Start,End,Energy
onResume,MainActivity,8.1e-05,0.009083,11:31:56.195,11:31:56.218,0.0104054848
startRequestingLocation,MainActivity,0.00011,0.030028,11:31:56.218,11:31:56.296,0.0344000768
updateLocation,MainActivity,0.00634,1.324241,11:31:56.296,11:31:58.812,1.5170504895999999
updateLocation,MainActivity,0.00634,1.324241,11:31:58.812,11:32:01.328,1.5170504895999999
validLocation,MainActivity,0.001603,0.413835,11:32:01.328,11:32:02.403,0.474089376
updateLocation,MainActivity,0.00634,1.324241,11:32:02.403,11:32:04.919,1.5170504895999999
validLocation,MainActivity,0.001603,0.413835,11:32:04.919,11:32:05.994,0.474089376
getAccuracy,MainActivity,0.001316,0.00282,11:32:05.994,11:32:06.001,0.003230592
getLatitude,MainActivity,0.001207,0.166072,11:32:06.001,11:32:06.432,0.19025208319999998
getLongitude,MainActivity,0.001126,0.163906,11:32:06.432,11:32:06.858,0.1877707136
updateLocation,MainActivity,0.00634,1.324241,11:32:06.858,11:32:09.374,1.5170504895999999
