method,Activity,Excl,Incl,Start,End,Energy
onAttach,First,1e-05,3.2e-05,12:01:21.394,12:01:21.394,3.6659199999999996e-05
onCreateView,First,0.002484,0.219086,12:01:21.394,12:01:21.963,0.25098492159999997
integer,First,3.2e-05,0.000335,12:01:21.963,12:01:21.963,0.000383776
morphToSquare,First,0.000387,0.066938,12:01:21.963,12:01:22.137,0.07668417279999999
dimen,First,6.8e-05,0.000836,12:01:22.137,12:01:22.139,0.0009577216
color,First,4.3e-05,0.000465,12:01:22.139,12:01:22.140,0.0005327040000000001
onRequestPermissionsResult,First,5.3e-05,0.031217,12:01:22.140,12:01:22.221,0.0357621952
selectImages,First,4.5e-05,0.008115,12:01:22.221,12:01:22.242,0.009296544
onActivityResult,MainActivity,2.8e-05,0.069086,12:01:19.875,12:01:20.054,0.07914492159999999
onActivityResult,First,0.000115,0.06877,12:01:22.242,12:01:22.420,0.078782912
integer,First,3.2e-05,0.000335,12:01:22.420,12:01:22.420,0.000383776
morphToSquare,First,0.000387,0.066938,12:01:22.420,12:01:22.594,0.07668417279999999
