Time,Voltage,Current,Temper
14:15:26.408,4272.0,-320.0,278.0
14:15:42.270,4267.0,-222.0,279.0
14:15:52.329,4328.0,233.0,280.0
14:16:02.386,4336.0,190.0,280.0
14:16:12.464,4345.0,276.0,281.0
14:16:22.520,4357.0,327.0,282.0
14:16:32.568,4351.0,247.0,282.0
14:16:42.940,4319.0,125.0,283.0
14:16:53.038,4353.0,310.0,283.0
14:17:23.319,4358.0,281.0,284.0
14:17:43.511,4358.0,270.0,283.0
14:17:53.604,4358.0,264.0,284.0
14:18:44.077,4358.0,241.0,283.0
14:19:04.265,4358.0,229.0,282.0
14:19:14.358,4358.0,239.0,281.0
14:19:24.453,4358.0,229.0,280.0
14:19:44.641,4358.0,228.0,279.0
14:20:14.923,4358.0,214.0,278.0
14:20:25.017,4358.0,206.0,277.0
14:20:35.111,4358.0,208.0,276.0
14:21:25.584,4356.0,200.0,275.0
14:22:26.152,4358.0,201.0,274.0
14:22:46.338,4358.0,189.0,273.0
14:23:36.809,4358.0,171.0,272.0
14:24:37.373,4358.0,168.0,271.0
14:24:47.536,4358.0,158.0,271.0
14:25:17.587,4324.0,-28.0,269.0
14:26:47.745,4320.0,-30.0,268.0
14:28:17.902,4319.0,-25.0,267.0
14:28:47.954,4319.0,-24.0,266.0
14:29:48.060,4311.0,-30.0,265.0
14:32:48.374,4310.0,-61.0,264.0
14:34:48.584,4316.0,-42.0,263.0
14:35:48.690,4315.0,-27.0,262.0
14:37:14.842,4288.0,-160.0,262.0
14:37:44.888,4287.0,-149.0,265.0
14:38:14.942,4280.0,-172.0,269.0
14:38:18.403,4284.0,234.0,270.0
14:38:28.458,4340.0,198.0,272.0
14:38:38.514,4347.0,194.0,272.0
14:38:48.564,4342.0,140.0,273.0
