method,Activity,Excl,Incl,Start,End,Energy
setSizeAndTypeface,Editor,1.6e-05,0.005947,14:57:23.643,14:57:23.658,0.0068128832
defaultFile,Editor,6.2e-05,0.036596,14:57:23.658,14:57:23.753,0.04192437759999999
readFile,Editor,0.001407,0.028297,14:57:23.753,14:57:23.826,0.032417043199999995
setListeners,Editor,0.001173,0.001478,14:57:23.826,14:57:23.829,0.0016931968
onCreateOptionsMenu,Editor,0.001655,1.89436,14:57:23.829,14:57:27.428,2.082018079577865
onPrepareOptionsMenu,Editor,0.003789,0.162124,14:57:27.428,14:57:27.849,0.1857292544
onPrepareOptionsMenu,Editor,0.003789,0.162124,14:57:27.849,14:57:28.270,0.1857292544
onOptionsItemSelected,Editor,0.00015,0.48743,14:57:28.270,14:57:29.537,0.2776750138316169
editClicked,Editor,2.2e-05,0.005182,14:57:29.537,14:57:29.550,0.0059364992
savePath,Editor,0.000614,0.016349,14:57:29.550,14:57:29.592,0.018729414399999998
onCreateOptionsMenu,Editor,0.001655,1.89436,14:57:29.592,14:57:33.191,2.058707548388953
onPrepareOptionsMenu,Editor,0.003789,0.162124,14:57:33.191,14:57:33.612,0.1857292544
viewClicked,Editor,2.2e-05,0.016491,14:57:33.612,14:57:33.654,0.0188920896
saveFile,Editor,3.5e-05,0.005947,14:57:33.654,14:57:33.669,0.0068128832
saveFile,Editor,3.5e-05,0.005947,14:57:33.669,14:57:33.684,0.0068128832
write,Editor,3.4e-05,0.005684,14:57:33.684,14:57:33.698,0.0065115903999999995
onPrepareOptionsMenu,Editor,0.003789,0.162124,14:57:33.698,14:57:34.119,0.1857292544
