method,Activity,Excl,Incl,Start,End,Energy
one,MainActivity,0.000823,0.000823,13:17:56.343,13:17:56.345,0.0009428287999999999
two,MainActivity,0.001715,0.001715,13:17:56.345,13:17:56.349,0.001964704
three,MainActivity,0.002647,0.002647,13:17:56.349,13:17:56.355,0.0030324032
onCreate,one,0.000858,0.217379,13:17:58.524,13:17:59.089,0.24902938239999997
mm_ijk,one,3.845994,3.873973,13:17:59.089,13:18:06.449,4.85155009434878
onCreate,MainActivity,0.000582,1.849956,13:17:56.355,13:17:59.869,1.2111174227398707
onCreate,two,0.000921,0.221975,13:18:06.394,13:18:06.971,0.25429456
mm_ikj,two,3.898768,3.927118,13:18:06.971,13:18:14.432,2.4124217840274844
onCreate,three,0.000923,0.219869,13:18:13.844,13:18:14.415,0.2518819264
mm_jik,three,3.861661,3.889299,13:18:14.415,13:18:21.804,2.298616121676757
onCreate,four,0.000834,0.220814,13:18:21.617,13:18:22.191,0.2529645184
mm_jki,four,4.48932,4.567983,13:18:22.191,13:18:30.870,2.575998657849364
onCreate,five,0.00092,0.221558,13:18:30.520,13:18:31.096,0.2538168448
mm_kij,five,3.906821,3.927906,13:18:31.096,13:18:38.559,2.1142299979238515
onBackPressed,MainActivity,1.4e-05,0.001525,13:17:59.869,13:17:59.872,0.00174704
