method,Activity,Excl,Incl,Start,End,Energy
drawScreen,MainActivity,0.003373,0.486803,16:36:27.417,16:36:28.682,0.5576815168
getLocale,AppPreferences,1e-05,0.001056,16:36:28.682,16:36:28.684,0.0012097536
setLocale,MainActivity,4.3e-05,0.011141,16:36:28.684,16:36:28.712,0.012763129599999999
setLocale,AppPreferences,1.6e-05,0.003006,16:36:28.712,16:36:28.719,0.0034436735999999997
getSection,AppPreferences,1e-05,0.001114,16:36:28.719,16:36:28.721,0.0012761984
changeSection,MainActivity,0.010681,0.016882,16:36:28.721,16:36:28.764,0.0193400192
onSectionAttached,MainActivity,1.9e-05,1.9e-05,16:36:28.764,16:36:28.764,2.17664e-05
getItemCount,FallacyListAdapter,0.000447,0.000623,16:36:28.764,16:36:28.765,0.0007137087999999999
getItemCount,FallacyListAdapter,0.000447,0.000623,16:36:28.765,16:36:28.766,0.0007137087999999999
getTitle,Fallacy,5.7e-05,5.7e-05,16:36:28.766,16:36:28.766,6.52992e-05
getDesc,Fallacy,5.1e-05,5.1e-05,16:36:28.766,16:36:28.766,5.84256e-05
getExample,Fallacy,5.5e-05,5.5e-05,16:36:28.766,16:36:28.766,6.3008e-05
