method,Activity,Excl,Incl
drawScreen,MainActivity,0.003373,0.486803
getLocale,AppPreferences,1e-05,0.001056
setLocale,MainActivity,4.3e-05,0.011141
setLocale,AppPreferences,1.6e-05,0.003006
getSection,AppPreferences,1e-05,0.001114
changeSection,MainActivity,0.010681,0.016882
onSectionAttached,MainActivity,1.9e-05,1.9e-05
getItemCount,FallacyListAdapter,0.000447,0.000623
getItemCount,FallacyListAdapter,0.000447,0.000623
getTitle,Fallacy,5.7e-05,5.7e-05
getDesc,Fallacy,5.1e-05,5.1e-05
getExample,Fallacy,5.5e-05,5.5e-05
onCreateOptionsMenu,MainActivity,1.5e-05,0.009778
onOptionsItemSelected,MainActivity,3.4e-05,0.008436
setDrawerItemSelected,MainActivity,0.000141,0.009586
unsetDrawerItemSelected,MainActivity,4.8e-05,0.002439
setDrawerItemSelected,MainActivity,0.000141,0.009586
selectItem,MainActivity,7.8e-05,0.031526
onNavigationDrawerItemSelected,MainActivity,2.1e-05,0.00191
changeSection,MainActivity,0.010681,0.016882
